"年月","總編號","處理單位","處理編號","年","月","日","時","分","縣市","區","村里","鄰","街道","段","巷","弄","號","公尺處","街道.1","段.1","側","附近","道路","公里","公尺處.1","向","車道","平交道","公里.1","公尺處.2","附近.1","死","受傷","X2.30","天候","光線","道路類別","速限","道路型態","事故位置","路面鋪裝","路面狀態","路面缺陷","障礙物","視距","號誌種類","號誌動作","分向設施","快車道或一般車道間","快慢車道間","路面邊線","事故類型及型態","主要肇因","警局","分局","案件類別","事故類別","日期","道路1","道路2","概略位置","lon","lat"
10102,"10102Y00020003","YZA1","10102YZ000004",2012,2,3,15,40,"金門縣","烈嶼鄉","上林村",NA,"","","",NA,"","","","","","上林17之5號前路段",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,"晴","日間自然光線","村里道路",40,"三岔路","交岔路口內","其他鋪裝","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無分向設施","未繪設車道線","未繪設快慢車道分隔線","無","其他","未靠右行駛","Y000","YZ00",1,2,2012-02-03,"金門縣烈嶼鄉上林村上林17之5號前路段","","金門縣烈嶼鄉上林村上林17之5號前路段","118.2345673","24.4288494"
10102,"10102Y00020005","YZA1","10102YZ000006",2012,2,4,23,5,"金門縣","金城鎮","",NA,"中興路","","146",NA,"24","","","","","天羅地網網咖前",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"晴","夜間（或隧道、地下道、涵洞）有照明","村里道路",40,"三岔路","交岔路口內","其他鋪裝","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無分向設施","未繪設車道線","未繪設快慢車道分隔線","有","追撞","酒醉（後）駕駛失控","Y000","YZ00",1,2,2012-02-04,"中興路146巷24號","","金門縣金城鎮天羅地網網咖前","118.3195106","24.4334378"
10102,"10102Y00030001","YZA1","10102YZ000007",2012,2,4,15,12,"金門縣","金城鎮","",NA,"西海路","一","",NA,"","","","","","水頭活活動中心後方06098燈桿旁路段",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"晴","日間自然光線","村里道路",40,"三岔路","交岔路口內","水泥","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無分向設施","未繪設車道線","未繪設快慢車道分隔線","無","撞路樹、電桿","倒車未依規定","Y000","YZ00",1,3,2012-02-04,"西海路一段","","金門縣金城鎮水頭活活動中心後方06098燈桿旁路段","118.2906709","24.4124946"
10102,"10102Y00020006","YZA1","10102YZ000008",2012,2,5,17,48,"金門縣","金城鎮","",NA,"民權路","","",NA,"","","","","","中正國小旁路口",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,"陰","晨或暮光","村里道路",40,"四岔路","交岔路口內","柏油","乾燥","無缺陷","無障礙物","良好","行車管制號誌","正常","無分向設施","未繪設車道線","未繪設快慢車道分隔線","有","側撞","未依規定讓車","Y000","YZ00",1,2,2012-02-05,"民權路","","金門縣金城鎮中正國小旁路口","118.3168946","24.4355379"
10102,"10102Y00020016","YZA1","10102YZ000010",2012,2,6,8,18,"金門縣","金城鎮","",NA,"北堤路","","9",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"雨","日間自然光線","村里道路",40,"三岔路","交岔路口內","柏油","濕潤","無缺陷","無障礙物","良好","無號誌","無號誌","無分向設施","未繪設車道線","快慢車道分隔線","有","側撞","未依規定讓車","Y000","YZ00",1,2,2012-02-06,"北堤路9巷","","金門縣金城鎮","118.3167419","24.4294062"
10102,"10102Y00020009","YZA1","10102YZ000012",2012,2,6,14,22,"金門縣","烈嶼鄉","",NA,"","","",NA,"","","","","","東林12號前路段",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"晴","日間自然光線","村里道路",40,"直路","一般車道（未劃分快慢車道）","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無標記","未繪設車道線","未繪設快慢車道分隔線","有","倒車撞","倒車未依規定","Y000","YZ00",1,2,2012-02-06,"金門縣烈嶼鄉東林12號前路段","","金門縣烈嶼鄉東林12號前路段","118.2455353","24.4288578"
10102,"10102Y00020010","YZA1","10102YZ000013",2012,2,6,19,20,"金門縣","金城鎮","西門里",NA,"民權路","","",NA,"","","光前路","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"晴","夜間（或隧道、地下道、涵洞）有照明","村里道路",40,"四岔路","交岔口附近","柏油","乾燥","無缺陷","無障礙物","良好","行車管制號誌","正常","無標記","未繪設車道線","未繪設快慢車道分隔線","有","側撞","未依規定讓車","Y000","YZ00",1,2,2012-02-06,"民權路","光前路","","118.3154588","24.43343543"
10102,"10102Y00020008","YZA1","10102YZ000014",2012,2,6,13,51,"金門縣","金城鎮","",NA,"民生路","","",NA,"","","","","","金城車站旁路段",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"晴","日間自然光線","村里道路",40,"圓環","其他","柏油","乾燥","無缺陷","無障礙物","路上停放車輛","無號誌","無號誌","無分向設施","未繪設車道線","未繪設快慢車道分隔線","有","其他","逆向行駛","Y000","YZ00",1,2,2012-02-06,"民生路","","金門縣金城鎮金城車站旁路段","118.3190184","24.43575"
10102,"10102Y00020011","YZA1","10102YZ000015",2012,2,8,7,39,"金門縣","金寧鄉","",NA,"桃園路","","",NA,"1","","","","","金酒公司側門",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,"晴","日間自然光線","縣道",60,"三岔路","交岔路口內","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無分向設施","未繪設車道線","未繪設快慢車道分隔線","有","側撞","未依規定減速","Y000","YZ00",1,2,2012-02-08,"桃園路1號","","金門縣金寧鄉金酒公司側門","118.3446627","24.4317794"
10102,"10102Y00020014","YZA1","10102YZ000018",2012,2,9,19,15,"金門縣","金城鎮","",NA,"北堤路","","",NA,"","","","","","03154燈桿前路段",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"陰","夜間（或隧道、地下道、涵洞）有照明","村里道路",40,"直路","一般車道（未劃分快慢車道）","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無標記","未繪設車道線","未繪設快慢車道分隔線","有","側撞","迴轉未依規定","Y000","YZ00",1,2,2012-02-09,"北堤路","","金門縣金城鎮03154燈桿前路段","118.3167419","24.4294062"
