"年月","總編號","處理單位","處理編號","年","月","日","時","分","縣市","區","村里","鄰","街道","段","巷","弄","號","公尺處","街道.1","段.1","側","附近","道路","公里","公尺處.1","向","車道","平交道","公里.1","公尺處.2","附近.1","死","受傷","X2.30","天候","光線","道路類別","速限","道路型態","事故位置","路面鋪裝","路面狀態","路面缺陷","障礙物","視距","號誌種類","號誌動作","分向設施","快車道或一般車道間","快慢車道間","路面邊線","事故類型及型態","主要肇因","警局","分局","案件類別","事故類別","日期","道路1","道路2","概略位置","lon","lat"
10211,"10211Y00020020","YYA1","10211YY000027",2013,11,19,11,34,"金門縣","金湖鎮","",NA,"太湖路","一","",NA,"","","公園路","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"晴","日間自然光線","村里道路",50,"四岔路","交岔路口內","柏油","乾燥","無缺陷","無障礙物","良好","閃光號誌","正常","無分向設施","未繪設車道線","未繪設快慢車道分隔線","有","追撞","未保持行車安全距離","Y000","YY00",1,2,"2013-11-19","太湖路一段","公園路","",118.4034739,24.44823238
10207,"10207Y00030001","YZA1","10207YZ000041",2013,7,24,15,5,"金門縣","金城鎮","",NA,"","","",NA,"","","","","","珠山14之1號",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"晴","日間自然光線","村里道路",30,"巷弄","一般車道（未劃分快慢車道）","其他鋪裝","乾燥","無缺陷","路上有停車","良好","無號誌","無號誌","無分向設施","未繪設車道線","未繪設快慢車道分隔線","無","其他","違規停車或暫停不當而肇事","Y000","YZ00",1,3,"2013-07-24","金門縣金城鎮珠山14之1號","","金門縣金城鎮珠山14之1號",118.3166667,24.4166667
10305,"10305Y00030002","YZA1","10305YZ000018",2014,5,7,17,55,"金門縣","金城鎮","",NA,"環島西路","一","",NA,"","","","","","14號前路段",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"雨","日間自然光線","村里道路",50,"直路","一般車道（未劃分快慢車道）","柏油","濕潤","無缺陷","無障礙物","良好","無號誌","無號誌","無標記","未繪設車道線","未繪設快慢車道分隔線","有","追撞","未保持行車安全距離","Y000","YZ00",1,3,"2014-05-07","環島西路一段","","金門縣金城鎮14號前路段",118.3184801,24.4172073
10207,"10207Y00020019","YZA1","10207YZ000048",2013,7,27,16,47,"金門縣","金城鎮","",NA,"","","",NA,"","","","","","延平路03921號燈桿前路口",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,"晴","日間自然光線","村里道路",40,"四岔路","交岔路口內","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無分向設施","未繪設車道線","未繪設快慢車道分隔線","有","路口交岔撞","未依規定讓車","Y000","YZ00",1,2,"2013-07-27","金門縣金城鎮延平路03921號燈桿前路口","","金門縣金城鎮延平路03921號燈桿前路口",118.304405,24.424809
10303,"10303Y00020027","YYA1","10303YY000037",2014,3,15,11,6,"金門縣","金湖鎮","",NA,"","","",NA,"","","","","","武德新莊紅龍餐",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"2014-03-15","金門縣金湖鎮武德新莊紅龍餐","","金門縣金湖鎮武德新莊紅龍餐",118.41389,24.439779
10207,"10207Y00020022","YZA1","10207YZ000060",2013,7,30,18,25,"金門縣","金寧鄉","榜林村",NA,"伯玉路","一","",NA,"232-4","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,"晴","夜間（或隧道、地下道、涵洞）有照明","鄉道",60,"四岔路","交岔口附近","柏油","乾燥","無缺陷","無障礙物","良好","閃光號誌","正常","附標記","未繪設車道線","快慢車道分隔線","有","追撞","未保持行車安全距離","Y000","YZ00",1,2,"2013-07-30","伯玉路一段232-4號","","金門縣金寧鄉榜林村",118.3267756,24.4346914
10306,"10306Y00020003","YZA1","10306YZ000006",2014,6,4,7,56,"金門縣","金城鎮","",NA,"","","",NA,"","","","","","富康一村9巷18號旁路口",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"晴","日間自然光線","村里道路",40,"四岔路","交岔路口內","其他鋪裝","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無分向設施","未繪設車道線","未繪設快慢車道分隔線","有","側撞","未依規定讓車","Y000","YZ00",1,2,"2014-06-04","金門縣金城鎮富康一村9巷18號旁路口","","金門縣金城鎮富康一村9巷18號旁路口",118.320257,24.437578
10208,"","YYA1","10208YY000018",2013,8,10,17,8,"金門縣","金沙鎮","",NA,"環島東路","一","",NA,"","","","","","金沙國小前路段",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y000","YY00",1,4,"2013-08-10","環島東路一段","","金門縣金沙鎮金沙國小前路段",118.4213083,24.4841071
10212,"10212Y00030005","YYA1","10212YY000043",2013,12,16,17,35,"金門縣","金湖鎮","新湖里",NA,"太湖路","一","",NA,"","","","","","1477路燈前",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"雨","夜間（或隧道、地下道、涵洞）有照明","村里道路",50,"直路","一般車道（未劃分快慢車道）","柏油","濕潤","無缺陷","無障礙物","良好","無號誌","無號誌","無標記","未繪設車道線","未繪設快慢車道分隔線","有","追撞","未保持行車安全距離","Y000","YY00",1,3,"2013-12-16","太湖路一段","","金門縣金湖鎮新湖里1477路燈前",118.4047483,24.4473343
10208,"10208Y00020019","YYA1","10208YY000024",2013,8,13,11,45,"金門縣","金湖鎮","",NA,"金港路","","",NA,"","","","","","媽祖公園路口",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,0,"晴","日間自然光線","村里道路",40,"四岔路","交岔路口內","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無分向設施","未繪設車道線","未繪設快慢車道分隔線","有","路口交岔撞","未依規定讓車","Y000","YY00",1,2,"2013-08-13","金港路","","金門縣金湖鎮媽祖公園路口",118.4341546,24.4172342
10306,"10306Y00020022","YZA1","10306YZ000025",2014,6,10,15,25,"金門縣","金城鎮","金水里",NA,"西海路","二","",NA,"","","珠水路","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"晴","日間自然光線","鄉道",50,"四岔路","交岔路口內","柏油","乾燥","無缺陷","無障礙物","良好","閃光號誌","正常","無分向設施","未繪設車道線","未繪設快慢車道分隔線","有","其他","裝載未盡安全措施","Y000","YZ00",1,2,"2014-06-10","西海路二段","珠水路","",118.2998287,24.41079517
10208,"10208Y00020021","YYA1","10208YY000030",2013,8,18,17,40,"金門縣","金湖鎮","",NA,"市港路","","",NA,"","","","","","武德新莊第二路口",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"晴","日間自然光線","村里道路",50,"三岔路","交岔路口內","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無分向設施","未繪設車道線","快慢車道分隔線","有","側撞","左轉彎未依規定","Y000","YY00",1,2,"2013-08-18","市港路","","金門縣金湖鎮武德新莊第二路口",118.4099121,24.4348324
10301,"10301Y00020036","YYA1","10301YY000048",2014,1,19,14,12,"金門縣","金湖鎮","新湖里",NA,"太湖路","一","",NA,"","","","","","1479路燈桿前",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,"晴","日間自然光線","村里道路",50,"直路","一般車道（未劃分快慢車道）","柏油","乾燥","無缺陷","無障礙物","良好","無號誌","無號誌","無標記","未繪設車道線","未繪設快慢車道分隔線","有","同向擦撞","未保持行車安全間隔","Y000","YY00",1,2,"2014-01-19","太湖路一段","","金門縣金湖鎮新湖里1479路燈桿前",118.4047483,24.4473343
